cafe_name,overview,concept
빽다방 대전죽동점,커피향이 넘좋고 목 넘김이 부드러워요 깔끔하고 친절해요 빽사이즈인데 커피 진해서 좋아요 맛있어요 자주 가는데 좋아용사장님도 친절하시고 고구마라떼도 완전 맛있어서 강추합니다,
파리바게뜨 대전죽동점,매장 청결하고 조용해서 좋아요빵도 파바빵 좋아하신다면 무난하실거같아요 빵 종류가 거의 동일하지만 그래도 편히가기 좋은 집근처 파바 감사해요 모나카 아이스크림 넘 맛있어요 사장님이 엄청 친절하세요 매장 깔끔하고 친절하고 빵도 맛있어요항상 잘 먹고있어요 깨끗하고 친절한 매장입니다 케이크 맛있고 좋았어용,"베이커리, 빵, 케이크, 샌드위치"
투썸플레이스 대전죽동점,아이스박스케이크 정말 맛있어오 ㅠㅠ 점장님 친절하셔서 기분좋은방문 매장이 넓고 깔끔합니다 좌석이 편합니다 디저트 맛있고 친절하세요 깔끔하고 맛있는 케이크죽동 아파트내 투썸 항상 믿고 가는곳입니다 케이크가 너무 맛있고 직원들도 친절하고 좋아요매장도 깨끗하고 관리 잘 되어 있어요,"빵, 케이크, 넓은 홀"
공차 대전죽동점,밀크티 존맛탱ㅎ빨리나오고 친절해요항상 맛있는 공차  여자 직원분 사장님 친절해요 공차 너무 맛있어요 초당옥수수 맛있어요 브라운슈가 밀크티 맛있음 친절함 오늘은 펄 안떨어지고 다 있네좋아요 공차생겨서맛있네여,
우디룸,브런치 카페를 처음 방문해봤습니다 분위기 좋구 맛있었어용 딸기에이드도 맛있어요 대신 진짜 잘 섞어드셔야합니다 숟가락으로 휘적휘적 하시면 잘 섞이니까 걱정은 마세용 아보카도가 이렇게 맛있는건지 브런치카페에서 알아갑니다 넘넘 맛있어요 전에 먹어본 치카보 샌드위치 토마토 스프도 맛있었구 베이컨포테이토 샌드위치 크림머쉬룸 크루아상도 너무 너무 맛있었어요 완전 강추맛있어용 쉬림프아보카도 오픈샌드위치버섯크림 크로와상도 맛있대서 담에갈땐 그거먹으려구용브런치먹기좋습니당 정말 맛있네요  재료가 신선하고 서로 잘 어울려서 보기에도 예쁘지만 맛은 더욱 좋습니다 사장님께서 친절해서 기분 좋게 먹었습니다 파니니와 커피 조합이 의외로 좋네요오픈샌드위치 단호박스프 다 존맛 가성비 조아요,
콜마르브레드,퀄리티 조아요 치즈빵 굿시오빵 넘 맛있어서 멀어도 근처가면 꼭 한번씩 들려요시나몬 러스크도 맛있구용역시 콜마르는 항상 맛있어요 어은동맛집 콜마르브레드 상하이아이스크림 마늘 빵 맛있어요ㅎㅎ맛있고 친절해요,"베이커리, 빵, 케이크, 샌드위치"
스타벅스 대전유성구청점,직원분들이 친절해요 커피도 맛있어요ㅎ대전왔다가 잠깐 들렀어요  더블에스프레소칩프라프치노 달달하니 맛나네요 친절해요친절하고 깨끗해요 유림공원과 갑천이 가까이 있어서 좋아요좋아요 또올게요 골든치즈케익 엄청 배부름 콜드브루랑 점심으로 먹음 꾸덕하니 맛있음,"1인석, 빵, 케이크"
빽다방 대전유성구청점,바빴는데도 친절하시구 맛있게 잘 먹었습니당 쿠키크런치빽스치노 맛있어요 매장도 청결하고 직원분들이 친절하세요 텀블러 할인 해주셔서 좋아요점심시간에 가도 빨리나와요ㅇ ㅏ샷추 존맛 ㅜㅜ직원분들 다 너무 친절하시고 매장도 깔끔해요 자주 올거 같아요 좋아요,
메가MGC커피 대전유성구청점,오후에 일하시는분 항상 친절하시고 커피도 맛있어요 귀여운 그럼 항상 감사합니다 ㅎㅎ조용히 대화하기도 좋고 가만히 앉아 음료마시기도좋습니다 시까지라 시간도 넉넉하구요 레몬에이드가 다른 지점보다 특히 맛있 습니다메가커피는 점심먹고 국룰이죠 ㅋㅋㅋ 맛있어용 직원분들도 친절하고 커피나오는속도도 빠릅니다가성비 짱 시원하고 좋아요맛있고 친절해요,빵
파리바게뜨 대전한빛점,식빵도 직접 잘라주시고 친절하세요 윗층에 앉을자리도 있어서 좋습니다 ㅎㅎ맛있어요 잘먹엇습니당ㅋㅋ맛있고 층까지 있어 먹고가기 편하고 좋아요층이 카페같이 생겨서좋아요 쾌적하고 샌드위치도 종류많아요 샌드위치 종류 다양해서 좋음,"베이커리, 빵, 케이크, 샌드위치"
드르쿰다From제주,실내 실외 모두 되게 넓고 주차장도 넓어요 음료랑 디저트 다양하고 특색있는 메뉴 많네요 커피랑 음료 다 맛있어요 반려견은 실외만 목줄하고 가능 다음엔 울집 댕댕이 데리고 또 오고싶어요ㅎㅎ친구랑 처음 와 봤는데 분위기 독특하고 좋으네요 야외도 넓고 실내도 편안해요 제주를 담은 두루쿰다  넘이뻐요 음료도 맛있어요 굿굿커피랑 음료 모두 정말 맛있어요카페 분위기도 너무 좋고 야외도 너무 예뻐요 매장도 넓어서 단체로 와도 정말 좋을것같아요제주도온것같아요 정말넓기도 넓고 자리도많아서 편히쉴수있었어요 다들 음료놓고 편히쉬면서 창밖 바라보시더라구요 천혜향스무디 초당옥수수라떼 맛있어요 당근케이크 진짜맛있음 멀리안가고 제주도간 느낌나서 좋아요 그리고 강아지랑같이갔는데 밖에있어야해서 더우니 강아지랑은 가을에 다시가야겠어요,"빵, 케이크, 샌드위치, 넓은 홀, 주차 가능"
펄스맥 팩토리,재료가 신선하고 음식이 맛있어여 인테리어도 굿야채 엄청 신선하구 너무 맛있어요ㅜ덕분에 엄청 맛있는 점심시간 보냈습니다 오랜만에 맛있는 브런치가게 입성했네요 ㅎㅎ 커피도 정말 강추입니다 ㅜㅜ 커피맛집에 샐러드 파니니 모두 굿이예용 재방문의사있습니다아 재료도 진짜 신선신선샐러드가 너무 후레쉬합니다 커피도 맛있고 늘 모든 메뉴 맛있게 먹을수있는 기분좋아지는 브런치 카페입니다메뉴판에는 안써있지만  브런치메뉴주문시 커피 원 할인 됩니다 친절하고 맛있어서 자주 방문하는 곳이예요 ㅎㅎ펄스맥 짱,샌드위치
아임일리터,분위기도 좋고 커피도 맛있어요 먹어본 수박쥬스중에 역대급 제일 맛있었습니다ㅠㅠ 겨울에도 먹고싶지만 여름한정메뉴라 여름에 많이 먹어두세요 아이엠리터는 수박쥬스 무조건 드셔야됩니다 자주갑니다 친절하고 맛있고 싸고 큽니다 좋아요 좋아 좋아요커피 맛있어요싸고 좋아요 적립도 잘되요,
스타벅스 월평트레이더스점,친절하시고 커피도 맛있어요 늦은 저녁 커피 땡겨 부랴부랴 갔네요ㅎ 시원한 밤 공기도 마시고 맛있는 커피도 마시고 좋았네요 커피랑 디저트가 맛있고 시원했어요 비 오는 저녁 마시기 딱 좋은 핫 라떼가 굿 맛있어요 좋음좋습니당ㅋㄷㅋㄷ,"빵, 케이크, 샌드위치, 주차 가능"
카페드롭탑 대전월평점,집 근처 카페중에 제일 큰곳이라 간간히 가는데 넓고좋아요 층으로 되어있어서 자리도 넉넉하고 앞에 작은 주차장도 있어서 차끌고 나갔다가 오는조용한 분위기여서 좋았고 커피는 제 입맛에 좋았음매장이 넓고 깨끗하고 좋네요 직원분들도 친절하시고 음료도 빨리 나와요찐 팥빙수 오랜만에 먹었는데 맛있어요매장이 커 자리도많고 층이 좀 더 조용합니다 매장이 넓고 주차하기 좋아요 ㅎㅎ녹차라떼 맛있게 먹었어요,"빵, 케이크, 샌드위치, 넓은 홀, 2층 이상, 주차 가능, 스터디룸"
오브떼르,잔디도있고 넓어서 힐링되는 느낌이었어요ㅋㅋ 날씨가 선선할때 밖에 있으니 기분이 좋더라구요 음료도 맛있었고 빵도 괜찮았어요 다른빵도 맛보고싶은 ㅠㅠㅠ 찾아오는 길이 조금 헷갈렸는데 계단 올라오니 별천지 느낌ㅋㅋ 좋은 카페 알게된것같아 뿌듯했네요 근데 음료 받아서 셀프로 셋팅해가야되는건 좀 신세계였어여ㅋㅋ매장도 넓고 시원하고 커피도 맛있어요 오픈 이후에 또 방문했는데 커피 더 맛있어졌더라구요 일단 야외 테라스 자리가 진짜 사기캐에여ㅠㅠ매장도 넓고 깨끗하고시원시원한 뷰가 속이 탁트이게하네요 커피도 맛있고 디저트도 맛있어요 커피맛이 깔끔하고 매장도 깔끔하고 시원해서 좋아요매장도 넓고 쾌적하고 커피도 맛있네요 자주 올게요,"베이커리, 빵, 케이크, 샌드위치, 넓은 홀, 주차 가능"
폴인레미유 대전구암점,커피도맛있고조각케잌도  맛있어요 인테리어도 독특하고이뻐요 맛있어요 이쁜카페라서 또 올께요커피도 맛있고 디저트도 맛있어요 소금빵도 너무 맛있어서 조만간 또 사러 가려고요  포토존도 많고 인테리어 이뻐서 유성 갈때 자주 들릴꺼 같아요 왜 핫플인지 알겠어요 커피도 맛있고 소금빵도 완전 맛있었어요 포토존도 가득하고 완전 맘에들오요 재방문 의사 입니당시그니쳐 거울 포토존에 주택개조카페사진 매니아들의 필수 카페음료랑 디저트도 맛있어요,"빵, 케이크, 2층 이상,"
스타벅스 대전구암DT점,넓고 쾌적해서 좋아요라테가 참 맛있고 직원분들 친절하시고 매장도 쾌적하니 좋아요대전 시내에서 최고로 넓고 쾌적한 스타벅스 이네요조용하여 집중하기에 참 좋은 곳 입니다스벅은 언제나 좋지요 친절 분위기 음료도 맛있는게 많아서 자주 갑니다새로 생겨서 깔끔하고 좋아요,"빵, 케이크, 샌드위치, 넓은 홀, 2층 이상, 주차 가능, 1인석"
드롭탑 유성복합터미널DT점,구암역과 가까워요 층에 넓고 쾌적하고 깔끔하게 꾸며진 카페 커피 원두를 고를수 있고 맛도 기대 이상으로 좋아요 초코라떼도 많이 달지 않고 맛있어요 제가 제일 좋아하는 카페에요 직원분들 모두 친절하시고 매장 화장실 다 깨끗하고 쾌적해요 음료도 뭘 시켜도 중간은 가고 디저트도 맛있는 드롭탑 ㅎㅎ교통도 편리하고 뷰가 정말 짱인 카페좋아요 주차편함깨끗하고 주차장이 넓어서 자주 오게 되네요 음료도 맛있어요,"빵, 케이크, 샌드위치, 넓은 홀, 2층 이상, 주차 가능, 1인석"
투썸플레이스 대전장대점,좋아요커피도 맛있고매장도 넓어서 편안해요 넓고  편해서  대화하기  짱좋은곳매장 넓고 쾌적해요 음료도 맛있어요 매장이 넓고 좌석이 편해서 공부하기 좋아요 자주 오는 카페 넓고 쾌적함,"빵, 케이크"
스타벅스 대전장대점,맛있어요 매장이 넓고 좌석이 편해용 사무실 근처라 자주 오는데 깔끔하고 친절해요콜드브루  맛있어요ㅎㅎ 쾌적해서 장소도 넓구요 단골벅스 그냥좋음 맛있고 지인분께서 여기가 맛있다고 해서 일부러 들렸어요  친절하고 맛있어요,"빵, 케이크, 넓은 홀, "
뚜레쥬르 대전장대점,케이크 맛있게 잘 먹었습니다 빵과 음료가  저렴하고 맛있어요 사장님도 친절해요 빵도 종류 다양하고 빙수도 있어서 좋아요 할머니 생신 처음으로 케이크 사드렸던곳 정말 맛있게드셨었는데 빵 맛있고 친절해요,"베이커리, 빵, 케이크, 샌드위치"
